PLAYER,RND,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMAX,K,D,A,FK,FD,
tayhuhu,304,169.2,0.9,0.66,121.1,0.6,0.29,0.03,0.05,0.21,0.14,23,183,204,89,9,15,
Esperanza,486,169.1,0.81,0.68,109.7,0.58,0.31,0.07,0.1,0.32,0.13,23,281,345,152,32,51,
Mykoz,366,169.1,0.79,0.71,115.1,0.57,0.35,0.06,0.08,0.26,0.18,29,208,263,129,21,28,
Daniops,353,169,0.77,0.7,116.4,0.58,0.29,0.06,0.06,0.21,0.1,20,204,264,104,21,20,
shiio,351,168.9,0.82,0.69,113.7,0.57,0.37,0.07,0.07,0.23,0.29,22,200,245,131,24,25,
Rossy,362,168.9,0.85,0.7,111.7,0.57,0.34,0.05,0.06,0.25,0.21,18,207,243,123,18,22,
DEA,257,168.8,0.75,0.71,108.9,0.57,0.28,0.05,0.11,0.34,0.1,20,147,196,73,13,28,
BlackWiz,514,168.7,0.9,0.7,108.8,0.62,0.28,0.05,0.09,0.26,0.11,21,317,352,146,27,44,
JN,229,168.6,0.73,0.56,113.3,0.59,0.21,0.09,0.14,0.24,,23,136,187,48,21,32,
BraiNfreeZe,681,168.5,0.83,0.69,110.8,0.58,0.34,0.05,0.07,0.26,0.16,25,393,471,234,34,46,
bmblbe,464,168.5,0.86,0.65,114.4,0.59,0.24,0.06,0.05,0.27,0.1,24,276,322,112,26,25,
lyNxi,345,168.4,0.87,0.72,116.6,0.61,0.28,0.06,0.07,0.31,0.06,19,209,240,96,21,23,
POISED,752,168.3,0.85,0.73,110.1,0.58,0.35,0.06,0.07,0.2,0.15,23,436,512,261,44,54,
zoe,242,168.3,0.82,0.64,119.4,0.62,0.13,0.1,0.13,0.23,0.04,23,150,183,32,23,31,
truo,371,168.2,0.82,0.7,112.4,0.59,0.34,0.04,0.06,0.31,0.2,26,220,268,126,15,23,
luk,384,168.2,0.84,0.72,108.3,0.6,0.34,0.05,0.05,0.23,0.28,21,229,273,129,21,21,
ALLIN,256,168.1,0.8,0.7,111.3,0.56,0.32,0.1,0.11,0.24,0.1,21,143,178,81,25,28,
dazzLe,423,168.1,0.77,0.68,113.9,0.55,0.31,0.08,0.09,0.2,0.1,24,232,302,131,32,38,
v1xen,690,168,0.92,0.72,108,0.59,0.33,0.05,0.04,0.26,0.17,21,410,447,230,37,30,
tinggg2k5,461,168,0.86,0.64,115.4,0.62,0.23,0.08,0.1,0.26,0.19,23,284,331,105,35,46,
monSi,1270,167.9,0.89,0.71,106.8,0.59,0.3,0.04,0.06,0.26,0.17,24,750,847,384,56,81,
royal,591,167.9,0.75,0.7,112.6,0.55,0.35,0.05,0.07,0.24,0.07,24,326,432,209,29,44,
L1NK,269,167.8,0.9,0.72,109.2,0.59,0.31,0.05,0.05,0.29,0.06,21,158,175,83,14,14,
Tillo,306,167.7,0.65,0.67,116.8,0.55,0.37,0.09,0.11,0.23,0.08,20,167,257,113,27,34,
Larischz,225,167.6,0.84,0.73,107.5,0.59,0.3,0.03,0.05,0.2,0.1,20,132,157,68,7,11,
l4cerr,358,167.5,0.74,0.67,110.5,0.56,0.34,0.04,0.11,0.3,0.2,24,199,270,122,16,40,
eskay,952,167.4,0.8,0.68,109.6,0.58,0.31,0.05,0.08,0.24,0.15,21,548,681,295,50,72,
Kenji,517,167.4,0.76,0.7,110.9,0.6,0.34,0.06,0.08,0.29,0.1,22,309,406,177,30,40,
Rio,573,167.3,0.75,0.66,111.4,0.57,0.37,0.05,0.07,0.22,0.07,26,324,430,214,29,42,
mikshak,260,167.2,0.77,0.65,117.5,0.6,0.17,0.08,0.08,0.27,0.11,24,155,202,45,21,22,
Violette,398,167.2,0.87,0.72,109.3,0.57,0.33,0.07,0.06,0.2,0.16,23,227,262,130,26,25,
JazzyB,292,167.2,0.77,0.62,108.7,0.58,0.2,0.08,0.06,0.13,0.08,20,170,222,57,24,18,
TERNOS,551,167.1,0.83,0.72,113.2,0.56,0.31,0.04,0.05,0.29,0.12,20,309,374,170,23,30,
Kuro,551,167,0.77,0.69,110.8,0.57,0.3,0.06,0.08,0.23,0.08,21,313,405,163,32,43,
Amaterasu,443,166.9,0.89,0.71,107.6,0.62,0.38,0.05,0.07,0.3,0.07,23,276,309,167,22,29,
delz1k,640,166.9,0.86,0.73,109.9,0.58,0.3,0.06,0.06,0.24,0.24,23,370,428,195,41,38,
Chainyz,205,166.7,0.71,0.69,113.9,0.55,0.34,0.06,0.08,0.22,0.11,17,112,157,70,12,16,
shen,580,166.7,0.71,0.66,108.8,0.57,0.34,0.05,0.09,0.22,0.12,19,331,464,198,28,55,
brawk,321,166.7,0.9,0.76,120.2,0.57,0.36,0.03,0.03,0.24,0.07,25,184,204,116,10,11,
Mistic,652,166.5,0.89,0.73,109.8,0.59,0.33,0.06,0.08,0.27,0.17,24,382,430,217,37,49,
Hernando,410,166.5,0.75,0.69,107.4,0.56,0.35,0.04,0.05,0.18,0.04,20,228,302,143,18,22,
KappA,604,166.4,0.85,0.73,114.1,0.56,0.31,0.04,0.07,0.24,0.09,20,340,400,185,27,43,
Anashi,268,166.4,0.7,0.66,109.9,0.56,0.41,0.04,0.09,0.25,0.03,16,149,214,109,10,24,
chai,201,166.2,0.73,0.66,111.1,0.55,0.3,0.05,0.07,0.23,,17,111,153,61,11,15,
fragg,213,166.2,0.75,0.6,107.3,0.56,0.28,0.04,0.08,0.27,0.21,17,119,158,59,8,17,
Chwepes,280,166.2,0.81,0.66,108.8,0.59,0.19,0.08,0.05,0.24,0.18,21,166,204,53,22,15,
THOOMER,271,166.1,0.72,0.7,112,0.56,0.32,0.06,0.08,0.24,0.16,17,152,211,87,17,23,
KHTEX,212,165.8,0.92,0.69,110.5,0.6,0.41,0.04,0.08,0.31,0.09,21,127,138,87,8,16,
